"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"LAND","Gladstone Land Corporation","13.44","$183.29M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/land",
"GOGO","Gogo Inc.","10.54","$914.58M","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gogo",
"GLNG","Golar LNG Limited","23.7","$2.4B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","21.75","$1.51B","2011","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp",
"GMLPP","Golar LNG Partners LP","25.2478","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlpp",
"GDEN","Golden Entertainment, Inc.","30.9","$814.88M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/gden",
"GOGL","Golden Ocean Group Limited","7.33","$1.03B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gogl",
"GBDC","Golub Capital BDC, Inc.","19","$1.13B","2010","n/a","n/a","http://www.nasdaq.com/symbol/gbdc",
"GTIM","Good Times Restaurants Inc.","2.6","$32.31M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/gtim",
"GPRO","GoPro, Inc.","8.29","$1.21B","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro",
"GSHT","Gores Holdings II, Inc.","9.94","$497M","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gsht",
"GSHTU","Gores Holdings II, Inc.","10.4492","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtu",
"GSHTW","Gores Holdings II, Inc.","1.45","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtw",
"KMDA","Kamada Ltd.","4.7","$189.2M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmda",
"KNDI","Kandi Technologies Group, Inc.","7.75","$372.28M","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/kndi",
"KPTI","Karyopharm Therapeutics Inc.","11.47","$541.16M","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kpti",
"KAAC","Kayne Anderson Acquisition Corp.","9.68","$456.56M","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kaac",
"KAACU","Kayne Anderson Acquisition Corp.","9.98","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kaacu",
"KAACW","Kayne Anderson Acquisition Corp.","0.85","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kaacw",
"KBLM","KBL Merger Corp. IV","9.69","$144.16M","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kblm",
"KBLMR","KBL Merger Corp. IV","0.32","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/kblmr",
